Name,Developer,Rating,Rating_Number,short_description,key_benefits,Price
Retail Ready Photos by Pixc,Pixc,4.8,98,Product photo editing and image optimization within 24 hours,"Skyrocket your online profits 
       When you have professional product photos on your eCommerce store, it greatly enhances the user experience and increases conversions! 
    
     
         
           
         
       Enjoy super-fast delivery 
       Now you don’t have to do the image editing yourself. Pixc will take your product photos and edit them perfectly for you within 24 hours! 
    
     
         
           
         
       Save more time and money 
       Letting us take care of your photos will help save you a lot of headaches. It’ll also save you time, so you can focus on what you love!","Free to install
 

       
        $79 = 40 credits, $299 = 170 credits, $1599 = 1000 credits"
Putler,Putler,0,0,"Track, analyse and grow your business everyday","Avoid intuition and guesswork 
       Putler gives you sensible analytics, accurate insights & takes care of routine tasks. 
    
     
         
           
         
       Gain control and clarity 
       Comprehensive and in-depth reports on sales, products, customers and visitors. 
    
     
         
           
         
       Growth tools 
       Not just reporting: get  insights, profile enrichment, customer RFM segmentation, sales heat map, products leader board & more.","Starter Plan
       

     
      $19/month
 

   

     
             200 orders /month 
             1 integration 
             2 years historical data 
             Access to all dashboards 
             All common features of Putler 
 
   
       
        Growth Plan
       

     
      $49/month
 

   

     
             2,000 orders/month 
             7 integrations 
             5 years historical data 
             RFM segmentation 
             Personalized growth insights 
             Everything in the 'Starter Plan' 
 
   
       
        Scale Plan
       

     
      $149/month
 

   

     
             5,000 orders /month 
             20 integrations 
             7 years historical data 
             Dedicated account manager 
             Everything in “Growth” plan"
Globo Pre‑Order,Globo,3.9,34,Globo pre-order allows your customer pre order a product,"Increase sales with pre-orders 
       Increase your sales by allowing your customers to make pre-orders 
    
     
         
           
         
       Automatically update stock 
       Display count down timer & automatically update stock when the pre-order products become available 
    
     
         
           
         
       Control pre order strategy 
       Controllable pre-order strategy for each product and variant","Pre-order
       

     
      $4.90/month
 

   

     
             All features are included"
Squarify,Squarify IO,5,15,Effortlessly Sync your Inventory between Square and Shopify.,"Inventory Synchronizing 
       Automatically keep your inventory counts in sync between one Shopify location and one Square location. 
    
     
       Stock Reconciliations 
       Manual reconcile any inconsistencies between the two platforms with our easy-to-use interface. 
    
     
       Real-Time and Fast 
       Any stock affecting events on either platform will be reflected in the other within 60 seconds.",$49/month
Autoresponders Bridge,Ommune,2.3,3,Now Easily Build Your Buyers List,,"$5/month
 
       
        or $4.58/month billed at $55 once per year"
Unific,Unific,4,4,Deep integrations and smart actions that lead to growth,"Powerful Integrations 
       Deep integrations that move your data where you need it, when you need it with minimal setup and effort. 
    
     
       Directions from Commerce GPS 
       Find your best customers using the Pareto Principle for RFM Analysis and Segmentation 
    
     
       Ecommerce Growth Tools 
       Our tools complement, enhance, and amplify your marketing automation, shopping cart, and library of apps.",Free
Best Fit ‑ Global Size Charts,Relentless Apps,0,0,Create multiple global size chart popups for all your products,"Global Size Charts 
       Create multiple global size charts. Choose which products or collections you want your size charts to appear in. 
    
     
         
           
         
       Beautiful & User Friendly 
       Create beautiful easy to use size charts that make you look professional. 
    
     
         
           
         
       Customizable 
       Create custom size charts and add text and images to make it look how you want.","Basic Plan
       

     
      Free
 

   

     
             One size chart 
             Can be displayed on unlimited products 
 
   
       
        Premium Plan
       

     
      $4.99/month
 

   

     
             Unlimited size charts 
             Can be displayed on unlimited products"
Widgetic (Social Buttons),Widgetic,5,1,Get more followers on your social accounts with branded icons.,"Grow your follower base 
       Build a community for your brand on your social profiles. 
    
     
       Word of mouth 
       Inspire your visitors to share your products across social media. 
    
     
       Connect with your customers 
       Encourage discussions and make visitors feel part of the community.",Free
Acerill Appointment Booking,Acerill,3.9,16,Allow your customers to book an appointment,,$1.99/month
Stamped.io Reviews,Stamped.io,4.9,1808,"Collect Product reviews, site reviews and photo/video reviews","Collect reviews automatically 
       Collect Video, Product, Site, Photo, Q&A, Instagram, Checkout Reviews easily to increase Conversions. 
    
     
         
           
         
       Boost Sales With Reviews 
       Showcase product & collection reviews rich snippets on Google search. Reviews Increases organic traffic, page ranking and SEO. 
    
     
         
           
         
       Build Trusts with Reviews 
       Push Product & Site Reviews to Google, Facebook, Instagram & Twitter. Use the power of Social Proof and reviews to increase Sales.","Lite plan
       

     
      Free
 

   

     
             Up to 50 orders/month 
             History Orders Import 
             Social Share 
             Reviews Commenting 
             Rich snippet 
             Display Reviews Widgets 
             Facebook Reviews Tab 
             More! 
 
   
       
        Basic plan
       

     
      $15/month
 

   

     
             Up to 200 orders/month 
             Incentive Coupons 
             Checkout Reviews 
             Advanced Email Customizations (full HTML edit) 
             Email Sequence 
             Multiple Display Widgets 
 
   
       
        Premium
       

     
      $29/month
 

   

     
             Up to 500 orders/month 
             + All features in Basic 
             Photo Reviews 
             Upsell Products 
             Social Push 
             Manual Review Request 
             Custom Forms 
             Product Rich Snippets 
 
   
       
        Business
       

     
      $69/month
 

   

     
             Up to 1,500 orders/month 
             + All features in Premium 
             Community Q&A 
             Photo Reviews 
             A.I. Sentiment Analysis 
             Collections rich snippet"
Twitter Feed by POWr,POWr.io,4.3,16,Grow your Twitter following with a Twitter feed!,"Increase Your Social Following 
       Grow your following with a custom Twitter feed featuring any handles and hashtags you follow! 
    
     
       Keep Content Fresh 
       Set the update frequency of your Twitter feed to ensure customers see the latest tweets & keep them engaged to boost time spent on your site 
    
     
       Easy, Customizable Design 
       Make it fit perfectly with the design of your site with fully customized colors, branding, borders, sizing, update frequency and more!","Starter
       

     
      $4.99/month
 
       
        or $4.49/month billed at $53.89 once per year
       

   

     
             No POWr Logo 
             12 Hour Content Updates 
             5 Accounts/Hashtags per Feed 
             Display Images 
             Select Number of Tweets 
             Hide Retweets 
 
   
       
        Pro
       

     
      $11.99/month
 
       
        or $10.79/month billed at $129.49 once per year
       

   

     
             No POWr Logo 
             1 Hour Content Updates 
             10 Accounts/Hashtags per Feed 
             Display Images 
             Select Number of Tweets 
             Hide Retweets 
             Custom CSS+JS 
 
   
       
        Business
       

     
      $49.99/month
 
       
        or $44.99/month billed at $539.89 once per year
       

   

     
             As Pro + 
             20 min Content Updates 
             FREE Business Upgrade for 
 
   
       
        Free 
       

     
      Free
 

   

     
             24 Hour Content Updates 
             Add 1 Account/Hashtag per Feed."
Clever Google Ads,Clever Ecommerce,4.5,896,"Targeted Search, Banners & Remarketing Google Adwords for Free","Search Google Ads & Banners 
       Be seen by your potential customers by appearing in Google Search results and displaying your banners while they are browsing the Internet. 
    
     
         
           
         
       Remarketing Google Ads 
       Retarget those customers who have shown interest in your products but didn't make a purchase the last time they visited your store. 
    
     
         
           
         
       Shopping Google Ads 
       Get more visibility by showing pictures of your products to those potential customers who are searching for them on Google Shopping.","Basic
       

     
      Free
 

   

     
             Get your ads created & uploaded on Google by a Premier Google Partner 
 
   
       
        Premium
       

     
      $49/month
 

   

     
             Receive a personal account manager to contact for support & goal setting 
 
   
       
        Custom
       

     
      $99/month
 

   

     
             Have access to full customization & flexibility within your account"
Motivation Bar,Maple Apps,0,0,"Increase your sales, motivate your customers to buy more","Increase your sales 
       Motivate your customers buy more by showing them how close they are to get the reward 
    
     
       Advanced goals setup 
       Make your goals reachable either by cart amount or certain product or total cart quantities. Stage your goals. Offer a free gift as a reward 
    
     
       Advanced customizations 
       Make your bar display depend on customer country, time period. Customizable bar style, position and background to fit your store theme","Basic *
       

     
      Free
 

   

     
             * Basic features with no charge for 7 days 
 
   
       
        Basic
       

     
      $5.99/month
 

   

     
             Unlimited active goals 
             Goals reachable by amount and quantity 
             Upload a custom background for a bar 
             Fully customizable style 
             Clickable bar/goal 
 
   
       
        Premium
       

     
      $9.99/month
 

   

     
             All Basic plan features included 
             Geo-targeting 
             Scheduling 
             Offer free product"
Recart Messenger Marketing,Recart,4.8,5501,The #1 Facebook Messenger Marketing & Abandoned Cart App,"Messenger Marketing is Here 
       Email open rates are decreasing: avoid the promotions folder, get your message in front of your customers with Recart Messenger Marketing. 
    
     
         
           
         
       Grow Your Messenger Audience 
       Subscribe your customers when they pay attention the most: on add to cart. This is our signature feature, the Messenger Add to Cart Popup. 
    
     
         
           
         
       More Revenue with Messenger 
       Generate more sales and conversations with Recart Messenger Campaigns. Recover abandoned carts, send receipts, or ask for reviews.","$29/month
 

       
        Monthly fee scales with the extra sales generated by Recart"
Product Addons,Spice Gems,0,0,Display related products as accessories on product page.,"Display Related Products 
       Display related products as add-ons on the product page. 
    
     
       One click Add to Cart 
       Select all the addons by clicking on checkbox and add all related products to cart with a single click. 
    
     
       Increase Average Order Value 
       Customers can purchase multiple products from a single page. Make purchasing easier and increase average order value",$7.50/month
Digital Takeout: Clear Pricing,Digital Takeout,5,3,Let customers know what they have to pay before they checkout.,"Gain customer loyalty 
       Showing your customers what they pay all-in before checkout offers transparency and will gain you loyal customers. 
    
     
         
           
         
       Attract new customers 
       Use Clear Pricing to sell VAT free and attract a new audiences from overseas. 
    
     
         
           
         
       Grow your sales 
       Transparency in pricing and selling VAT free with Clear Pricing can grow your sales.",$9.99/month
Google Shopping Feed,Simprosys InfoMedia,4.9,328,Improve Google Shopping Ad Spend By Google Shopping Feed,"Submits All Product Variants 
       Variant selection options in the Shopping search results improves CTR and Orders. Improved Impressions as Variant options are part of Titles 
    
     
         
           
         
       Specific Product Promotions 
       Promotions Feed for all products and Specific Ones. Let searchers see promotions running on your store, get Improved CTR and . 
    
     
         
           
         
       Uses Content API of Google 
       Helps you updates products within 20 mins. Stock Status, Pricing, Title, Description, SKU, Photos, Promotions, all are updated within 20 min","Free Plans. 
       

     
      Free
 

   

     
             For those stores which are having only 5 products in their Online Store. 
 
   
       
        6 - 50 Products
       

     
      $2.99/month
 

   

     
             For those stores which are having 6 to 50 products in their Online Store. 
 
   
       
        51-500 Products
       

     
      $4.99/month
 

   

     
             For those stores which are having 51 to 500 products in their Online Store. 
 
   
       
        501-1000 Products
       

     
      $8.99/month
 

       
        Check Out Our Pricing Page for Additional Pricing. 
       
   

     
             For those stores which are having 501 to 1000 products in their Online Store."
Performance Team,Performance Team,0,0,Quick and easy logistics for e-commerce order fulfillment,"Automated order fulfillment 
       Automated order fulfillment. Your Shopify orders are sent directly to Performance Team. 
    
     
       Integrated tracking 
       Integrated tracking and fulfillment services. Receive tracking numbers right in Shopify. 
    
     
       Export data 
       Export your order and product data to CSV.","Free to install
 

       
        Product warehousing and shipping fees"
Dual Price Display PRO,Singleton software,4.8,5,B2B App to show VAT Included and VAT Excluded prices together,"Display Both Prices 
       Allow to display price including VAT and price excluding VAT together for each product 
    
     
       Be Loyal To Your Customers 
       Help to be correct to your B2B and B2C customers, who need to see both prices 
    
     
       Set Rules For Prices Display 
       Easy configuration give you chance to set price display design like you wish","Base plan
       

     
      $7.99/month"
Loyalty Marketing Automation,Marsello,4.9,221,Sell more with a loyalty program and automated email marketing,"Better marketing for results 
       Send the right content at the right time, triggered by your customers' behavior. Automated and personalized marketing gets results. 
    
     
         
           
         
       Marsello does the hard work 
       Proven best-practice loyalty program & email settings remove the guesswork out of loyalty marketing. Everything is ready to go. 
    
     
         
           
         
       Showcase your brand 
       Use beautiful pre-built templates that are designed to get sales results. Want to make a few tweaks? To customize, simply drag & drop.","Free to Install
       

     
      Free
 

   

     
             Basic Loyalty Program 
             Referral Program 
             Customer Analytics 
             Unlimited Customers 
 
   
       
        Pro
       

     
      $50/month
 

       
        +$10/mo per 1000 extra customers. +2% of Email Flow Revenue.
       
   

     
             14-Day Free Trial 
             Up to 1000 customers 
             All features included 
             Customization 
             Advanced Loyalty Program 
             Automated Email Flows 
             Unlimited sending"
Email Signatures,Seller Panda,4.8,135,The simplest way to create a beautiful email signatures!,"Professional emails 
       Emails without a professional signature doesn't look good, Panda signatures help you gain trust with your email readers. 
    
     
       Personalized signatures 
       Each signature you create fits perfect with into your email with your store info. 
    
     
       Free forever 
       Panda signatures is free and will stay free forever, without any limit to number of signatures and simply without any limits!",Free
All In One Product Zoom,Nulls.Net,4.7,43,You can choose from 3 of the Zoom Types,,$1.90/month
Zipify Pages,Zipify Apps,4.6,141,Easily Create Winning Sales Funnels & Landing Pages,"Created For Our Stores & Yours 
       The only drag & drop landing page builder expertly designed by successful ecommerce sellers — powerful, practical and easy to use. 
    
     
         
           
         
       Tested & Proven 
       Copy conversion-tested & proven pages from one of Shopify’s biggest stores — sales pages, product offer pages, email landing pages, and more 
    
     
         
           
         
       Native Shopify Integration 
       Native Shopify integration means no lost leads or sales, 100% mobile & tablet responsive, and better tracking on Facebook and Google.","Basic
       

     
      $67/month
 

   

     
             Reporting Dashboard 
             Proven Templates 
             Unlimited Pages 
             Chat & Email Support 
             Scarcity Timers 
             Light Boxes 
             Mobile Optimized 
             Home Page 
             And More! 
 
   
       
        Plus
       

     
      $97/month
 

   

     
             Everything in basic, plus: 
             Split Testing 
             Shopify Blog Integration 
             Booster Pages"
Unfurls Meta Tags Manager,Viral Foundry,0,0,Automatically generate meta tags for social networks & search,"Increase Traffic + Sales 
       Get more traffic from search engines, social networks, and messaging platforms by improving your Shopify store meta tags. 
    
     
       Fix Meta Tags Problems Faster 
       Stop spending days learning how to implement tags properly. If you have 5 pages or 50k, we'll automatically generate valid tags in minutes. 
    
     
       Improve Brand Equity 
       Deliver a better user experience and stronger brand presence with customizable shared social images that look and feel like you.","Small
       

     
      $2.99/month
 

       
        Additional charges may apply for utilizing meta tag experts
       
   

     
             up to 10 Pages 
 
   
       
        Medium
       

     
      $6.99/month
 

       
        Additional charges may apply for utilizing meta tag experts
       
   

     
             11-49 Pages 
 
   
       
        Large
       

     
      $12.99/month
 

       
        Additional charges may apply for utilizing meta tag experts
       
   

     
             50+ pages"
Shipping Bar Master‑Autoketing,Autoketing,0,0,Auto show a free shipping bar to boost customer's buying goal,,"Free
       

     
      Free
 

   

     
             Create only one bar 
             1000 display times of bar 
             Set up the social buttons 
             Device and page target 
             Schedule active time 
 
   
       
        Pro 
       

     
      $9.99/month
 

   

     
             Unlimited shipping bars 
             Unlimited display times of bars 
             Including all features of the free plan 
             Request the bar position"
Snappy Search,Heysenior,4.8,25,"Instant search suggestions as you type, Smart Search!","Instant search suggestions 
       Instant search suggestion for collections, products, pages and blogs, Product search by SKU. 
    
     
         
           
         
       Search Analysis 
       Smart search, increase your sales, complete search and click pattern analysis, optimized search functionality. 
    
     
         
           
         
       No configuration required 
       Navigation Search, Absolutely no configurations required, it works instantly.","GROWTH
       

     
      $4.99/month
 

   

     
             Unlimited Searches 
             Unlimited Products / Collections / Pages / Blogs 
             Responsive Design 
             Search Stats 
             Free of advertising 
             Professional support"
Social Media Stream,SmartFox,4.7,343,Stream All Your Social Media Into One Stunning Widget,"Produce Dynamic Content 
       Easily produce an up-to-date content just the way you would on any social media network 
    
     
       Run Social Campaigns 
       Do you have a hashtag for your products? nice! run a social campaign and stream it to the website. this will keep your store fresh! 
    
     
       Get Customers Reviews 
       Get what people say about your products into one stunning widget, be there first!","Free
       

     
      Free
 

   

     
             Up To 2 Streams 
             24H (Daily) Refresh Rate 
             18 Posts 
 
   
       
        GOLD
       

     
      $9.95/month
 

   

     
             Up To 10 Streams 
             15 Minutes Refresh Rate 
             200 Posts 
             No 'Powered By' 
             Hashtags Support 
             SEO 
 
   
       
        PLATINUM
       

     
      $45/month
 

   

     
             Unlimited # of Streams 
             Near  Real-Time Refresh Rate 
             500 Posts 
             No 'Powered By' 
             Hashtags Support 
             SEO"
Power BI,LoyaltyHarbour,2.3,3,Advanced Analytics and Business Intelligence,,"Pro
       

     
      $49/month
 

   

     
             Up to 100 orders/month 
 
   
       
        Plus
       

     
      $99/month
 

   

     
             Up to 500 orders/month 
 
   
       
        Enterprise
       

     
      $299/month
 

   

     
             Unlimited orders/month"
